Code,CRASH_TOTAL,Municipality,Score
2491,2, Trafford Borough,4
2120,4, South Versailles Township,4
2406,10, Ben Avon Heights Borough,4
2490,16, McDonald Borough,4
2417,28, Chalfant Borough,4
2114,29, Reserve Township,4
2465,30, Thornburg Borough,4
2442,45, Liberty Borough,4
2450,53, Oakdale Borough,4
2107,53, Leet Township,4
2412,54, Bradfordwoods Borough,4
2470,63, Wall Borough,4
2452,65, Osborne Borough,4
2101,70, Baldwin Township,4
2410,76, Braddock Borough,4
2471,82, West Elizabeth Borough,4
2409,86, Brackenridge Borough,4
2468,88, Verona Borough,4
2436,103, Haysville Borough,4
2455,116, Port Vue Borough,4
2408,117, Blawnox Borough,4
2456,123, Rankin Borough,4
2480,128, Bell Acres Borough,4
2211,133, Kilbuck Township,4
2103,134, Crescent Township,4
2125,144, Aleppo Township,4
2418,147, Cheswick Borough,4
2472,154, West Homestead Borough,4
2453,155, Pitcairn Borough,4
2469,168, Versailles Borough,4
2479,173, Wilmerding Borough,4
2405,186, Ben Avon Borough,4
2457,193, Rosslyn Farms Borough,4
2462,194, Springdale Borough,4
2425,198, East Pittsburgh Borough,4
2447,201, Mount Oliver Borough,3
2475,204, Whitaker Borough,3
2459,214, Sewickley Heights Borough,3
2449,219, North Braddock Borough,3
2428,220, Elizabeth Borough,3
2460,228, Sewickley Hills Borough,3
2439,228, Ingram Borough,3
2427,229, Edgeworth Borough,3
2437,239, Heidelberg Borough,3
2110,244, Neville Township,3
2434,274, Glenfield Borough,3
2411,279, Braddock Hills Borough,3
2443,288, Lincoln Borough,3
2121,312, Springdale Township,3
2429,317, Emsworth Borough,3
2422,322, Dormont Borough,3
2441,335, Leetdale Borough,3
2467,346, Turtle Creek Borough,3
2458,362, Sewickley Borough,3
2478,365, Wilkinsburg Borough,3
2206,370, Frazer Township,3
2122,399, Stowe Township,3
2401,418, Aspinwall Borough,3
2423,418, Dravosburg Borough,3
2124,425, Wilkins Township,3
2461,426, Sharpsburg Borough,3
2433,432, Glassport Borough,3
2104,456, East Deer Township,3
2421,478, Crafton Borough,3
2414,481, Bridgeville Borough,3
2474,493, West View Borough,3
2464,564, Tarentum Borough,3
2202,565, Fawn Township,3
2402,572, Avalon Borough,3
2302,574, Clairton City,3
2424,576, East McKeesport Borough,3
2420,608, Coraopolis Borough,3
2432,652, Fox Chapel Borough,3
2444,666, McKees Rocks Borough,3
2451,694, Oakmont Borough,3
2430,739, Etna Borough,3
2463,770, Swissvale Borough,3
2413,773, Brentwood Borough,3
2445,779, Millvale Borough,3
2438,823, Homestead Borough,3
2404,849, Bellevue Borough,3
2431,888, Forest Hills Borough,3
2126,900, Kennedy Township,3
2219,948, South Park Township,3
2106,950, Harrison Township,3
2204,969, Forward Township,3
2416,976, Castle Shannon Borough,3
2426,985, Edgewood Borough,3
2209,1062, Indiana Township,2
2303,1073, Duquesne City,2
2448,1107, Munhall Borough,2
2220,1136, West Deer Township,2
2415,1187, Carnegie Borough,2
2476,1198, Whitehall Borough,2
2105,1328, Elizabeth Township,2
2123,1351, Upper Saint Clair Township,2
2477,1394, White Oak Borough,2
2215,1437, Ohio Township,2
2403,1480, Baldwin Borough,2
2419,1582, Churchill Borough,2
2203,1651, Findlay Township,2
2454,1686, Pleasant Hills Borough,2
2208,1772, Harmar Township,2
2481,1976, Franklin Park Borough,2
2112,2014, Ohara Township,2
2119,2036, South Fayette Township,2
2217,2096, Richland Township,2
2440,2114, Jefferson Hills Borough,2
2435,2121, Green tree Borough,2
2117,2123, Scott Township,2
2212,2298, Marshall Township,2
2111,2483, North Versailles Township,2
2216,2641, Pine Township,2
2102,2696, Collier Township,2
2207,2830, Hampton Township,2
2214,2861, North Fayette Township,2
2118,3078, Shaler Township,2
2304,3196, McKeesport City,2
2109,3200, Mount Lebanon Township,2
2407,3307, Bethel Park Borough,2
2108,3882, McCandless Township,2
2466,3919, Plum Borough,2
2213,4070, Moon Township,2
2473,4691, West Mifflin Borough,2
2115,4873, Robinson Township,2
2116,5093, Ross Township,2
2446,7030, Monroeville Borough,2
2113,7225, Penn Hills Township,2
2301,70134, Pittsburgh City,1
