Neighborhood,facility count,Points
Highland Park,30,4
Squirrel Hill South,29,4
Perry North,20,3
Brookline,19,3
Strip District,15,2
Brighton Heights,14,2
Hazelwood,14,2
Carrick,12,2
South Side Slopes,11,1
Lincoln-Lemington-Belmar,11,1
Elliott,11,1
Morningside,10,1
Shadyside,9,1
Point Breeze,8,1
Central Business District,8,1
Mount Washington,7,1
Lower Lawrenceville,7,1
Banksville,7,1
Sheraden,7,1
Squirrel Hill North,7,1
Beltzhoover,7,1
Bloomfield,6,1
Homewood West,6,1
Beechview,6,1
Bedford Dwellings,6,1
Spring Hill-City View,6,1
Lincoln Place,5,1
South Side Flats,5,1
Knoxville,4,1
Polish Hill,4,1
Garfield,4,1
Greenfield,4,1
Regent Square,4,1
Westwood,4,1
Allegheny Center,4,1
Windgap,3,1
Terrace Village,3,1
Troy Hill,3,1
Marshall-Shadeland,3,1
Oakwood,3,1
Allentown,3,1
Homewood South,3,1
North Oakland,3,1
East Hills,3,1
Crawford-Roberts,3,1
East Liberty,3,1
Manchester,3,1
Bluff,3,1
Chateau,3,1
Central Lawrenceville,3,1
Allegheny West,3,1
Hays,2,1
South Oakland,2,1
Overbrook,2,1
Upper Hill,2,1
Perry South,2,1
Duquesne Heights,2,1
West End,2,1
East Allegheny,1,1
Bon Air,1,1
Upper Lawrenceville,1,1
Fairywood,1,1
Central Oakland,1,1
Homewood North,1,1
Central Northside,1,1
West Oakland,1,1
Stanton Heights,1,1
Fineview,1,1
Glen Hazel,1,1
Larimer,1,1
Point Breeze North,1,1
Crafton Heights,1,1
Swisshelm Park,1,1
California-Kirkbride,1,1
Middle Hill,1,1
